Land_Area,Soil_Quality_Index,Planting_Date,Harvesting_Date,Proposed_Crop,Credit_Score,Location,Farming_Experience,Predicted_Rainfall,Loan_To_Revenue_Ratio,Growing_Season_Length,Risk_Factor,Loan_Approval_Status,Predicted_Loan_Amount,Crop_Recommendation
37.95408472538265,0.4674978662074972,2015-04-09,2018-10-12,Sorghum,345,Pune,8,682.3960192541401,0.5837860703052948,1282,1.2953731571630813,Denied,0.0,Barley
20.961820555049712,0.08742741484067706,2018-06-02,2021-06-13,Pulses,481,Pune,16,934.441196794308,0.460542440638393,1107,,Approved,82677.61263322708,
34.26060892862216,0.4945205512400527,2016-10-17,2019-06-15,Soybean,498,Nashik,17,1152.2873057325237,0.3337809724185178,971,,Approved,153556.04921808455,
49.76494538673316,0.8553039204934632,2018-07-06,2019-12-05,Sugarcane,379,Pune,4,455.8137722600958,0.34520566632554617,517,,Approved,282913.714523578,
14.976346780891332,0.8621828576501407,2019-08-09,2022-03-07,Maize,704,Pune,5,1084.985539419654,0.36283374630546017,941,,Approved,79075.11100310623,
36.43263390577036,0.912264057392608,2020-07-29,2021-01-02,Soybean,623,Aurangabad,11,642.0096102908435,0.29035571092562973,157,,Approved,204277.77830965442,
5.842113994713776,0.467351835379858,2015-07-06,2017-09-05,Pulses,612,Kolhapur,14,689.9477083099682,0.25735387348388383,792,,Approved,29318.064871071616,
39.638210700960656,0.28725810047983824,2015-12-02,2022-01-23,Groundnut,383,Kolhapur,16,582.0892373660035,0.2726856689562779,2244,,Approved,144223.62963544534,
41.22382865685419,0.9586816172757288,2015-08-20,2017-05-10,Wheat,868,Aurangabad,6,918.5752516025623,0.6215104261800899,629,,Approved,286258.2661931955,
38.94839470631201,0.053883456920991724,2019-03-07,2022-01-11,Potato,712,Nagpur,14,966.1153807118591,0.39355838434217777,1041,,Approved,305043.82733983564,
39.201329280498896,0.6320763277935315,2019-02-12,2019-06-17,Maize,666,Pune,25,408.83670326146205,0.5921084605581732,125,,Approved,195810.639756092,
13.100336492493803,0.5005167686774954,2018-08-13,2022-03-11,Barley,430,Aurangabad,27,449.05652593033756,0.3496685652542805,1306,,Approved,43938.52859582422,
4.490500845435717,0.9394398706362302,2015-10-07,2022-05-22,Wheat,401,Aurangabad,24,1033.9506044124594,0.37964909261539564,2419,,Approved,14405.52671215778,
40.08830618876835,0.5968967836741217,2016-01-21,2017-02-22,Maize,343,Kolhapur,6,581.343480729741,0.7605000821743013,398,1.4118844497011338,Denied,0.0,Cotton
19.85582096041868,0.5322819039495476,2015-09-17,2022-03-17,Soybean,587,Nashik,2,699.3389486020885,0.4112753995236176,2373,,Approved,104898.30213389188,
33.30240888467002,0.7436813981923144,2015-02-26,2021-03-03,Sugarcane,681,Aurangabad,12,1061.6204894683547,0.7720683896705325,2197,,Approved,340184.1067569043,
24.505037877269626,0.10165905295161493,2015-09-24,2020-07-24,Sorghum,583,Nashik,6,689.8606967804735,0.7544977582500068,1765,,Approved,100005.05957713735,
31.510368383530956,0.03143766424531047,2020-03-09,2022-08-19,Sorghum,663,Nashik,27,1176.2185657837103,0.5052922241091142,893,,Approved,146239.61966796717,
12.528705837824848,0.7873172936566352,2021-03-26,2022-06-03,Cotton,417,Kolhapur,22,739.4352200972813,0.2456265827846198,434,,Approved,62693.64401247554,
7.6272277093590635,0.6010190071280278,2019-04-07,2020-08-05,Potato,736,Kolhapur,2,420.0483102642314,0.4204251948619343,486,,Approved,61750.03553497098,
40.373302878054076,0.2147024323990172,2017-08-13,2022-11-06,Rice,872,Nagpur,22,857.7428563750664,0.540535195084837,1911,,Approved,299246.9209321369,
33.98049744572148,0.5732136106336779,2018-07-19,2021-12-22,Barley,807,Nagpur,27,852.1518101337117,0.4407364710339428,1252,,Approved,213893.63922183844,
21.783264061203525,0.9290271924434835,2015-11-15,2018-06-23,Sugarcane,839,Kolhapur,4,423.19032679647677,0.43384315644962573,951,,Approved,274142.3782102464,
27.987552753238965,0.1516010425114056,2017-08-02,2021-07-11,Potato,648,Kolhapur,24,554.3184793999287,0.795773366491286,1439,,Approved,199495.27602508734,
